start,end,net,acc,portfolio
2017-12-01,2018-01-01,0.011842279393073763,1.0118422793930737,101184.22793930737
2018-01-01,2018-02-01,0.035250523755514254,1.047510249699653,104751.02496996529
2018-02-01,2018-03-01,0.0020327201696745748,1.0496395449121583,104963.95449121583
2018-03-01,2018-04-01,-0.036179195546107296,1.0116644305638542,101166.44305638543
2018-04-01,2018-05-01,0.012717222722377304,1.0245299924476419,102452.99924476419
2018-05-01,2018-06-01,-0.018721013116922872,1.0053497530203486,100534.97530203487
2018-06-01,2018-07-01,0.007822926599321437,1.0132145303448727,101321.45303448729
2018-07-01,2018-08-01,-0.0010659942562755403,1.0121344494751503,101213.44494751503
2018-08-01,2018-09-01,-0.00756419944676063,1.004478462632383,100447.8462632383
2018-09-01,2018-10-01,-0.006256277170854604,0.9981941669580009,99819.41669580009
2018-10-01,2018-11-01,-0.020433751561871837,0.9777973153398715,97779.73153398714
2018-11-01,2018-12-01,-0.001545244978172851,0.9762863789486717,97628.63789486716
2018-12-01,2019-01-01,-0.00047460618793470754,0.9758230273920262,97582.30273920263
2019-01-01,2019-02-01,0.007231670667559267,0.982879858155946,98287.9858155946
2019-02-01,2019-03-01,0.0040415760478821495,0.986852241848615,98685.2241848615
2019-03-01,2019-04-01,0.003862690611853764,0.9906641467384905,99066.41467384904
2019-04-01,2019-05-01,0.012166513411056347,1.0027170753656371,100271.7075365637
2019-05-01,2019-06-01,0.0012222268738752652,1.0039426231220427,100394.26231220426
2019-06-01,2019-07-01,0.02025597232383847,1.0242784571107246,102427.84571107244
2019-07-01,2019-08-01,0.0058253173118133226,1.030245204139049,103024.52041390489
2019-08-01,2019-09-01,0.003067999258366865,1.0334059956612838,103340.59956612835
2019-09-01,2019-10-01,-0.0010051853966245338,1.0323672310456609,103236.72310456606
2019-10-01,2019-11-01,0.017818107478481834,1.0507620613256952,105076.20613256948
2019-11-01,2019-12-01,-0.009524474963212497,1.040754104380305,104075.41043803046
2019-12-01,2020-01-01,0.0015772589175239709,1.0423956430723886,104239.56430723882
2020-01-01,2020-02-01,-0.022255444543771208,1.0191966646453223,101919.66646453219
2020-02-01,2020-03-01,0.04388113659935403,1.06392017270823,106392.01727082294
2020-03-01,2020-04-01,-0.08190486474687979,0.9767799348610854,97677.99348610849
2020-04-01,2020-05-01,0.05138304401866488,1.026969861250601,102696.98612506007
2020-05-01,2020-06-01,0.019200171354406815,1.046687858562424,104668.78585624235
2020-06-01,2020-07-01,0.021241536934211405,1.0689211173686683,106892.11173686678
2020-07-01,2020-08-01,0.01991768608949084,1.0902115526388452,109021.15526388446
2020-08-01,2020-09-01,-0.0003995725909024689,1.0897759339841253,108977.59339841249
2020-09-01,2020-10-01,0.03486109365435426,1.1277667148810073,112776.67148810069
2020-10-01,2020-11-01,-0.017863014044078137,1.107621402214644,110762.14022146437
2020-11-01,2020-12-01,0.05646572105075604,1.1701640433419433,117016.4043341943
